MarketCode,ClassificationId,WholesalesFactorNY,WholesalesFactorOY
USNA,1,0.81164748,0.426807088
USNA,2,0.95,0.426807088
USNA,3,0.95,0.275281326
USNA,5,0.62243959,0.783790488
USNA,6,0.770006383,0.469018461
USNA,8,0.811023574,0.523930035
USNA,9,0.820510857,0.463665516
USNA,10,0.81164748,0.81245936
USNA,12,0.770006383,0.469018461
USNA,14,0.703098333,0.597496968
USNA,15,0.89929982,0.426807088
USNA,16,0.820510857,0.463665516
USNA,17,0.857836584,0.410409451
USNA,18,0.936845742,0.46280663
USNA,19,0.95,0.275281326
USNA,20,0.95,0.503554535
USNA,22,0.84032639,0.748576091
USNA,23,0.937309455,0.424908879
USNA,25,0.812882376,0.463984635
USNA,26,0.735802907,0.312057106
USNA,29,0.81164748,0.426807088
USNA,30,0.791917591,0.426807088
USNA,31,0.204188758,0.426807088
USNA,32,0.579429805,0.166115402
USNA,33,0.775595167,0.426807088
USNA,34,0.95,0.254935491
USNA,35,0.81164748,0.426807088
USNA,37,0.780889675,0.95
USNA,38,0.204188758,0.426807088
USNA,39,0.81164748,0.426807088
USNA,40,0.95,0.95
USNA,43,0.81164748,0.426807088
USNA,44,0.81164748,0.56948787
USNA,45,0.696302651,0.253979404
USNA,46,0.696302651,0.253979404
USNA,47,0.699657736,0.526648664
USNA,49,0.204188758,0.426807088
USNA,51,0.81164748,0.426807088
USNA,52,0.931836962,0.1
USNA,53,0.820510857,0.463665516
USNA,54,0.699657736,0.526648664
USNA,55,0.80098424,0.1
USNA,56,0.95,0.426807088
USNA,57,0.792841871,0.426807088
USNA,58,0.854540807,0.335500102
USNA,59,0.95,0.426807088
USNA,61,0.95,0.544451661
USNA,62,0.778423764,0.811316138
USNA,63,0.95,0.1
USNA,66,0.901843765,0.573278353
USNA,67,0.699657736,0.52005226
USNA,74,0.718209067,0.426807088
USNA,84,0.886693062,0.426807088
USNA,87,0.696302651,0.253979404
USNA,95,0.753149748,0.426807088
USNA,98,0.901843765,0.573278353
USNA,116,0.884700676,0.428005103
USNA,120,0.662352758,0.84498171
USNA,123,0.782780419,0.53693521
USNA,129,0.794922664,0.444637775
USNA,132,0.62243959,0.783790488
USNA,133,0.778169939,0.811415716
USNA,134,0.95,0.254935491
USNA,147,0.81164748,0.240283473
USNA,148,0.95,0.911410595
USNA,156,0.782780419,0.53693521
USNA,185,0.841376578,0.755010627
USNA,187,0.890293052,0.426807088
USNA,200,0.791917591,0.426807088
USNA,217,0.699657736,0.38751219
USNA,219,0.95,0.95
USNA,227,0.579429805,0.166115402
USNA,237,0.95,0.514858827
USNA,249,0.95,0.426807088
USNA,251,0.95,0.426807088
USNA,267,0.781231433,0.666297393
USNA,274,0.854197558,0.337661218
USNA,278,0.718209067,0.426807088
USNA,284,0.89929982,0.426807088
USNA,285,0.662352758,0.84498171
USNA,319,0.95,0.426807088
USNA,320,0.95,0.95
USNA,328,0.763941209,0.426807088
USNA,333,0.561047984,0.818490389
USNA,360,0.644185764,0.523930035
USNA,367,0.81164748,0.240283473
USNA,377,0.778169939,0.811415716
USNA,393,0.780889675,0.804478689
USNA,405,0.449947561,0.253979404
USNA,413,0.668563896,0.298160901
USNA,433,0.703098333,0.597518367
USNA,451,0.95,0.426807088
USNA,452,0.791917591,0.426807088
USNA,459,0.936845742,0.46280663
USNA,461,0.745830326,0.429472497
USNA,474,0.866061056,0.529446115
USNA,478,0.95,0.426807088
USNA,482,0.80098424,0.1
USNA,483,0.95,0.426807088
USNA,485,0.563657837,0.577564468
USNA,488,0.81164748,0.426807088
USNA,520,0.781231433,0.666297393
USNA,523,0.81164748,0.426807088
USNA,535,0.95,0.426807088
USNA,536,0.664365251,0.1
USNA,547,0.95,0.543167619
USNA,712,0.525390887,0.426807088
USNA,724,0.796189506,0.782849873
USNA,861,0.745830326,0.603661087
USNA,926,0.745830326,0.44898931
USNA,1124,0.813267286,0.426807088
USNA,1224,0.782780419,0.53693521
USNA,1243,0.804831029,0.429472497
USNA,1249,0.733505611,0.352597619
USNA,1278,0.840934321,0.544624963
USNA,1423,0.95,0.500255034
USNA,1474,0.841457544,0.196459655
USNA,1649,0.763941209,0.426807088
USNA,1742,0.754291172,0.298160901
USNA,1756,0.890125803,0.68374162
USNA,1789,0.95,0.611879646
USNA,1897,0.771970753,0.95
USNA,1930,0.782780419,0.53693521
USNA,1951,0.782780419,0.539231358
USNA,2019,0.940775392,0.444637775
USNA,2047,0.782780419,0.53693521
USNA,2074,0.870371408,0.693775722
USNA,2168,0.95,0.490046423
USNA,2329,0.782780419,0.53693521
USNA,2557,0.236499218,0.275852094
USNA,2863,0.782780419,0.53693521
USNA,2936,0.782780419,0.53693521
USNA,3227,0.95,0.426807088
USNA,3273,0.95,0.611879646
USNA,3422,0.95,0.604903454
USNA,3489,0.782780419,0.610754443
USNA,3659,0.95,0.402803528
USNA,3761,0.813267286,0.426807088
USNA,3830,0.83229963,0.426807088
USNA,3921,0.810229584,0.428005103
USNA,4084,0.796718181,0.337661218
USNA,4100,0.736963821,0.504491911
USNA,4111,0.889101723,0.375838282
